Time;Value
0;8.9348554
360;11.94833187
720;14.39783069
1080;14.9834139
1440;14.12696943
1800;12.79454606
2160;14.40424271
2520;14.20975281
2880;13.58392539
3240;10.78668671
3600;10.98278569
3960;12.00286785
4320;11.98919366
4680;10.28823184
5040;12.10892175
5400;14.90627795
5760;14.62561034
6120;12.2216793
6480;12.22877795
6840;14.8445812
7200;12.92752315
7560;14.47294237
7920;14.92367141
8280;13.14434438
8640;13.29334769
9000;13.5286856
9360;13.46370357
9720;11.15036555
10080;10.96619329
10440;14.28027522
10800;10.94022845
11160;12.11411379
11520;11.83313032
11880;11.81356144
12240;12.08053585
12600;14.27705773
12960;13.92972051
13320;10.88103201
13680;14.77127474
14040;14.03150397
14400;14.09360856
14760;13.1035122
15120;11.61759425
15480;14.20076329
15840;11.60698796
16200;12.71255067
16560;12.74202546
16920;11.01402997
17280;13.45842586
17640;14.22551938
18000;11.0642596
18360;11.426105
18720;10.55541261
19080;12.50416892
19440;12.464848
19800;10.38315106
20160;14.34716391
20520;11.34002205
20880;10.85500955
21240;11.779605
21600;12.19941225
21960;11.50073739
22320;13.85936527
22680;10.90916761
23040;11.1313479
23400;14.35623191
23760;11.80936751
24120;13.23167854
24480;11.13645021
24840;12.94122127
25200;11.12807067
25560;12.33183216
25920;13.19794115
26280;11.45561398
26640;13.90918893
