#energyBin lgMinEnergy lgMaxEnergy meanLgEnergy numberOfEvents meanXmax meanXmaxSigmaStat meanXmaxSigmaSysUp meanXmaxSigmaSysLow sigmaXmax sigmaXmaxSigmaStat sigmaXmaxSigmaSysUp sigmaXmaxSigmaSysLow
 0 17.80 17.90 17.850  3768  709.9  1.2  7.6 -10.2   59.6  1.7  1.9  -1.7
 1 17.90 18.00 17.949  3383  719.9  1.4  7.5 -10.2   62.4  2.1  2.1  -1.8
 2 18.00 18.10 18.048  2818  725.2  1.5  7.4 -10.2   59.5  2.0  2.2  -1.9
 3 18.10 18.20 18.148  2425  736.9  1.8  7.3 -10.1   64.3  2.6  2.4  -2.1
 4 18.20 18.30 18.247  1952  744.5  2.0  7.3  -9.9   66.4  2.6  2.6  -2.2
 5 18.30 18.40 18.348  1439  748.0  2.0  7.3  -9.7   60.2  2.8  2.3  -2.0
 6 18.40 18.50 18.447  1139  752.2  2.1  7.3  -9.4   53.3  2.9  2.1  -1.8
 7 18.50 18.60 18.548   814  754.5  2.2  7.3  -9.1   53.5  3.0  1.9  -1.7
 8 18.60 18.70 18.646   575  756.1  2.7  7.4  -8.8   54.5  3.5  1.7  -1.6
 9 18.70 18.80 18.747   413  757.4  2.8  7.5  -8.5   45.8  3.4  1.5  -1.5
10 18.80 18.90 18.849   297  763.6  2.9  7.7  -8.1   42.8  3.6  1.4  -1.4
11 18.90 19.00 18.947   230  764.6  3.2  7.8  -7.8   43.4  4.1  1.3  -1.4
12 19.00 19.10 19.048   165  766.4  3.3  8.0  -7.6   39.0  3.8  1.3  -1.4
13 19.10 19.20 19.144   114  767.0  3.6  8.2  -7.4   36.7  3.6  1.3  -1.4
14 19.20 19.30 19.247    87  779.5  5.1  8.5  -7.2   46.4  6.2  1.2  -1.3
15 19.30 19.40 19.340    63  773.1  5.0  8.7  -7.1   40.1  4.8  1.3  -1.4
16 19.40 19.50 19.447    40  787.9  9.6  8.9  -7.0   53.2 12.7  1.3  -1.4
17 19.50 20.00 19.620    37  779.8  5.0  9.4  -6.9   26.5  4.8  1.5  -1.6
